Economic_Variable,Fashion_Trend,Lag_Months,Cross_Correlation
Unemployment Rate (%),luxury,48,-0.5762207625076717
Unemployment Rate (%),quiet_luxury,0,-0.5497560751363971
Unemployment Rate (%),quiet_luxury,1,-0.5325306626465285
Unemployment Rate (%),quiet_luxury,2,-0.5178983392878062
Unemployment Rate (%),quiet_luxury,3,-0.48971744339957407
Unemployment Rate (%),quiet_luxury,4,-0.4668583959266904
Unemployment Rate (%),quiet_luxury,5,-0.45396273741371934
Unemployment Rate (%),quiet_luxury,6,-0.4287261274435654
Unemployment Rate (%),quiet_luxury,7,-0.40969640227576426
Unemployment Rate (%),quiet_luxury,8,-0.3908968120096677
Unemployment Rate (%),quiet_luxury,9,-0.3683040719398554
Unemployment Rate (%),quiet_luxury,10,-0.34840346405239925
Unemployment Rate (%),quiet_luxury,11,-0.32781850831228815
Unemployment Rate (%),quiet_luxury,12,-0.30597140303806114
Unemployment Rate (%),quiet_luxury,13,-0.2894809564487552
Unemployment Rate (%),quiet_luxury,14,-0.27695345856717757
Unemployment Rate (%),quiet_luxury,15,-0.25536042337868975
Unemployment Rate (%),quiet_luxury,16,-0.24132695568281926
Unemployment Rate (%),quiet_luxury,17,-0.226892063350241
Unemployment Rate (%),quiet_luxury,18,-0.2065341523817274
Unemployment Rate (%),quiet_luxury,19,-0.18898628244230561
Unemployment Rate (%),quiet_luxury,20,-0.1471580312571315
Unemployment Rate (%),quiet_luxury,21,-0.04965245538681057
Unemployment Rate (%),quiet_luxury,22,0.03575095701240271
Unemployment Rate (%),quiet_luxury,23,0.06244803024404907
Unemployment Rate (%),quiet_luxury,24,0.06502253438055787
Unemployment Rate (%),quiet_luxury,25,0.03508978315785262
Unemployment Rate (%),quiet_luxury,26,0.02875669563040121
Unemployment Rate (%),quiet_luxury,27,0.0291019448698773
Unemployment Rate (%),quiet_luxury,28,0.024531743547111722
Unemployment Rate (%),quiet_luxury,29,0.0010896619923892522
Unemployment Rate (%),quiet_luxury,30,-0.02476121534619721
Unemployment Rate (%),quiet_luxury,31,-0.046250110788237056
Unemployment Rate (%),quiet_luxury,32,-0.04949183049690058
Unemployment Rate (%),quiet_luxury,33,-0.06713459134643934
Unemployment Rate (%),quiet_luxury,34,-0.08237921521464812
Unemployment Rate (%),quiet_luxury,35,-0.08648678016045588
Unemployment Rate (%),quiet_luxury,36,-0.09549272208852325
Unemployment Rate (%),quiet_luxury,37,-0.08639126478745761
Unemployment Rate (%),quiet_luxury,38,-0.09851876427571071
Unemployment Rate (%),quiet_luxury,39,-0.0584306575605274
Unemployment Rate (%),quiet_luxury,40,-0.08010926849360987
Unemployment Rate (%),quiet_luxury,41,-0.1037788204110577
Unemployment Rate (%),quiet_luxury,42,-0.10405064235712114
Unemployment Rate (%),quiet_luxury,43,-0.1051078764935442
Unemployment Rate (%),quiet_luxury,44,-0.11202933149120495
Unemployment Rate (%),quiet_luxury,45,-0.1299806389934275
Unemployment Rate (%),quiet_luxury,46,-0.11625957193771776
Unemployment Rate (%),quiet_luxury,47,-0.15211873055836814
Unemployment Rate (%),quiet_luxury,48,-0.14744807498989698
Unemployment Rate (%),minimalist_fashion,0,0.049347154704516887
Unemployment Rate (%),minimalist_fashion,1,0.06025346336481599
Unemployment Rate (%),minimalist_fashion,2,0.02938654634343736
Unemployment Rate (%),minimalist_fashion,3,0.021638665237134935
Unemployment Rate (%),minimalist_fashion,4,0.01572075091148375
Unemployment Rate (%),minimalist_fashion,5,-0.0016515918339304436
Unemployment Rate (%),minimalist_fashion,6,-0.019415195957982082
Unemployment Rate (%),minimalist_fashion,7,-0.03658679200932116
Unemployment Rate (%),minimalist_fashion,8,-0.03288538084945553
Unemployment Rate (%),minimalist_fashion,9,-0.041713113177759845
Unemployment Rate (%),minimalist_fashion,10,-0.03533117953420142
Unemployment Rate (%),minimalist_fashion,11,-0.04407808046510652
Unemployment Rate (%),minimalist_fashion,12,-0.03966426644252948
Unemployment Rate (%),minimalist_fashion,13,-0.04806152996562327
Unemployment Rate (%),minimalist_fashion,14,-0.06379030747280609
Unemployment Rate (%),minimalist_fashion,15,-0.06011670144254103
Unemployment Rate (%),minimalist_fashion,16,-0.06747939907341678
Unemployment Rate (%),minimalist_fashion,17,-0.07558820392050501
Unemployment Rate (%),minimalist_fashion,18,-0.07309384590573503
Unemployment Rate (%),minimalist_fashion,19,-0.059905301504347294
Unemployment Rate (%),minimalist_fashion,20,-0.06562767111462713
Unemployment Rate (%),minimalist_fashion,21,-0.036998778769724905
Unemployment Rate (%),minimalist_fashion,22,-0.049772251775334925
Unemployment Rate (%),minimalist_fashion,23,-0.03959028007931271
Unemployment Rate (%),minimalist_fashion,24,-0.0365631817067272
Unemployment Rate (%),minimalist_fashion,25,-0.03297411840584378
Unemployment Rate (%),minimalist_fashion,26,-0.008725335683610367
Unemployment Rate (%),minimalist_fashion,27,-0.003856305660152946
Unemployment Rate (%),minimalist_fashion,28,0.005556374850716881
Unemployment Rate (%),minimalist_fashion,29,-0.016760911114671456
Unemployment Rate (%),minimalist_fashion,30,0.008746162210342778
Unemployment Rate (%),minimalist_fashion,31,0.024138415935381997
Unemployment Rate (%),minimalist_fashion,32,0.0014117099775570537
Unemployment Rate (%),minimalist_fashion,33,-0.003610581611789273
Unemployment Rate (%),minimalist_fashion,34,0.009361787835179585
Unemployment Rate (%),minimalist_fashion,35,0.023955677436931146
Unemployment Rate (%),minimalist_fashion,36,0.05858124793560715
Unemployment Rate (%),minimalist_fashion,37,0.052205027838009795
Unemployment Rate (%),minimalist_fashion,38,0.03823824716496418
Unemployment Rate (%),minimalist_fashion,39,0.05048326776050474
Unemployment Rate (%),minimalist_fashion,40,0.052676873294559334
Unemployment Rate (%),minimalist_fashion,41,0.05469912698795406
Unemployment Rate (%),minimalist_fashion,42,0.05190635116037493
Unemployment Rate (%),minimalist_fashion,43,0.062036085901656844
Unemployment Rate (%),minimalist_fashion,44,0.018918878583394895
Unemployment Rate (%),minimalist_fashion,45,-0.012107724255327877
Unemployment Rate (%),minimalist_fashion,46,-0.023301483461341418
Unemployment Rate (%),minimalist_fashion,47,-0.020355173921598784
Unemployment Rate (%),minimalist_fashion,48,-0.012963965189145317
Unemployment Rate (%),timeless_basics,0,0.025779257073473262
Unemployment Rate (%),timeless_basics,1,0.03451757799539452
Unemployment Rate (%),timeless_basics,2,0.03456681376196119
Unemployment Rate (%),timeless_basics,3,0.02597763290144811
Unemployment Rate (%),timeless_basics,4,0.02613447454860284
Unemployment Rate (%),timeless_basics,5,0.017440017944815804
Unemployment Rate (%),timeless_basics,6,0.026086902673593756
Unemployment Rate (%),timeless_basics,7,0.03483469963958692
Unemployment Rate (%),timeless_basics,8,0.026042122435892504
Unemployment Rate (%),timeless_basics,9,0.03469044761526713
Unemployment Rate (%),timeless_basics,10,0.02604438227613545
Unemployment Rate (%),timeless_basics,11,0.026019051665641512
Unemployment Rate (%),timeless_basics,12,0.01719479307805126
Unemployment Rate (%),timeless_basics,13,0.008389820839939511
Unemployment Rate (%),timeless_basics,14,0.008284538824934075
Unemployment Rate (%),timeless_basics,15,-0.0005804822761389015
Unemployment Rate (%),timeless_basics,16,-0.01810794452497106
Unemployment Rate (%),timeless_basics,17,-0.01822236686213783
Unemployment Rate (%),timeless_basics,18,-0.009681916798444188
Unemployment Rate (%),timeless_basics,19,-0.018456999152358988
Unemployment Rate (%),timeless_basics,20,-0.01840986557404116
Unemployment Rate (%),timeless_basics,21,-0.022773857652805218
Unemployment Rate (%),timeless_basics,22,-0.01406548465988776
Unemployment Rate (%),timeless_basics,23,-0.0009992024366580676
Unemployment Rate (%),timeless_basics,24,-0.0010056287440375795
Unemployment Rate (%),timeless_basics,25,0.003233767401869942
Unemployment Rate (%),timeless_basics,26,0.003226533645497431
Unemployment Rate (%),timeless_basics,27,0.007577951619330473
Unemployment Rate (%),timeless_basics,28,-0.0012619874656697888
Unemployment Rate (%),timeless_basics,29,0.007449010409574278
Unemployment Rate (%),timeless_basics,30,-0.0012788724790571862
Unemployment Rate (%),timeless_basics,31,-0.01436716846509323
Unemployment Rate (%),timeless_basics,32,0.0030050110829347833
Unemployment Rate (%),timeless_basics,33,-0.009910155378369563
Unemployment Rate (%),timeless_basics,34,-0.0010756440543005057
Unemployment Rate (%),timeless_basics,35,0.09059093095397969
Unemployment Rate (%),timeless_basics,36,0.16053159105212497
Unemployment Rate (%),timeless_basics,37,0.19122094622087438
Unemployment Rate (%),timeless_basics,38,0.20009895451736737
Unemployment Rate (%),timeless_basics,39,0.1393215130284349
Unemployment Rate (%),timeless_basics,40,0.14839482481631727
Unemployment Rate (%),timeless_basics,41,0.1574844311542891
Unemployment Rate (%),timeless_basics,42,0.14044889423735202
Unemployment Rate (%),timeless_basics,43,0.11889928275516874
Unemployment Rate (%),timeless_basics,44,0.10191754965700914
Unemployment Rate (%),timeless_basics,45,0.054056520417811414
Unemployment Rate (%),timeless_basics,46,0.04134891640852875
Unemployment Rate (%),timeless_basics,47,0.028610120265444332
Unemployment Rate (%),timeless_basics,48,-0.0061517803513558116
Unemployment Rate (%),capsule_wardrobe,0,-0.5112083173708442
Unemployment Rate (%),capsule_wardrobe,1,-0.5220972317050986
Unemployment Rate (%),capsule_wardrobe,2,-0.5220208190032507
Unemployment Rate (%),capsule_wardrobe,3,-0.5138697384919092
Unemployment Rate (%),capsule_wardrobe,4,-0.5050896091679312
Unemployment Rate (%),capsule_wardrobe,5,-0.49928897827472324
Unemployment Rate (%),capsule_wardrobe,6,-0.4890841554495842
Unemployment Rate (%),capsule_wardrobe,7,-0.485428855303789
Unemployment Rate (%),capsule_wardrobe,8,-0.4753713578977528
Unemployment Rate (%),capsule_wardrobe,9,-0.4626256606241041
Unemployment Rate (%),capsule_wardrobe,10,-0.4571219237733425
Unemployment Rate (%),capsule_wardrobe,11,-0.45018185010147904
Unemployment Rate (%),capsule_wardrobe,12,-0.4337738204868464
Unemployment Rate (%),capsule_wardrobe,13,-0.4271073633839485
Unemployment Rate (%),capsule_wardrobe,14,-0.4240077424718469
Unemployment Rate (%),capsule_wardrobe,15,-0.4190953505130268
Unemployment Rate (%),capsule_wardrobe,16,-0.41800254033749795
Unemployment Rate (%),capsule_wardrobe,17,-0.41731737583174555
Unemployment Rate (%),capsule_wardrobe,18,-0.4163084139422875
Unemployment Rate (%),capsule_wardrobe,19,-0.41479733688806714
Unemployment Rate (%),capsule_wardrobe,20,-0.40292373822598937
Unemployment Rate (%),capsule_wardrobe,21,-0.39291053738985565
Unemployment Rate (%),capsule_wardrobe,22,-0.3923161093676895
Unemployment Rate (%),capsule_wardrobe,23,-0.39593725738690333
Unemployment Rate (%),capsule_wardrobe,24,-0.3830691600765647
Unemployment Rate (%),capsule_wardrobe,25,-0.38887505187043825
Unemployment Rate (%),capsule_wardrobe,26,-0.3893492686126251
Unemployment Rate (%),capsule_wardrobe,27,-0.3926274031872036
Unemployment Rate (%),capsule_wardrobe,28,-0.4046238913835863
Unemployment Rate (%),capsule_wardrobe,29,-0.4244113862345483
Unemployment Rate (%),capsule_wardrobe,30,-0.4279328563761377
Unemployment Rate (%),capsule_wardrobe,31,-0.44013380985084705
Unemployment Rate (%),capsule_wardrobe,32,-0.45619987144645835
Unemployment Rate (%),capsule_wardrobe,33,-0.4614436738879989
Unemployment Rate (%),capsule_wardrobe,34,-0.4640508648661027
Unemployment Rate (%),capsule_wardrobe,35,-0.4653579324254005
Unemployment Rate (%),capsule_wardrobe,36,-0.4509246094706706
Unemployment Rate (%),capsule_wardrobe,37,-0.45497268001931657
Unemployment Rate (%),capsule_wardrobe,38,-0.4577007174748157
Unemployment Rate (%),capsule_wardrobe,39,-0.462327273616955
Unemployment Rate (%),capsule_wardrobe,40,-0.4750747223390346
Unemployment Rate (%),capsule_wardrobe,41,-0.4917635757182973
Unemployment Rate (%),capsule_wardrobe,42,-0.498544621152461
Unemployment Rate (%),capsule_wardrobe,43,-0.5163019337043688
Unemployment Rate (%),capsule_wardrobe,44,-0.5380000115429131
Unemployment Rate (%),capsule_wardrobe,45,-0.5465704295069264
Unemployment Rate (%),capsule_wardrobe,46,-0.548717963427765
Unemployment Rate (%),capsule_wardrobe,47,-0.5547817764436849
Unemployment Rate (%),capsule_wardrobe,48,-0.5518652171571252
Unemployment Rate (%),thrift_store,0,-0.514320368741141
Unemployment Rate (%),thrift_store,1,-0.526715443170039
Unemployment Rate (%),thrift_store,2,-0.5307084424275911
Unemployment Rate (%),thrift_store,3,-0.5116907337842095
Unemployment Rate (%),thrift_store,4,-0.4962757877573014
Unemployment Rate (%),thrift_store,5,-0.49370705311570884
Unemployment Rate (%),thrift_store,6,-0.4892348054942793
Unemployment Rate (%),thrift_store,7,-0.49472958420752006
Unemployment Rate (%),thrift_store,8,-0.4974463830588985
Unemployment Rate (%),thrift_store,9,-0.48502312054214164
Unemployment Rate (%),thrift_store,10,-0.48358139019245744
Unemployment Rate (%),thrift_store,11,-0.48643367952910727
Unemployment Rate (%),thrift_store,12,-0.48148808746253974
Unemployment Rate (%),thrift_store,13,-0.49002344227282296
Unemployment Rate (%),thrift_store,14,-0.48965126899947875
Unemployment Rate (%),thrift_store,15,-0.4819171359138695
Unemployment Rate (%),thrift_store,16,-0.487739989008408
Unemployment Rate (%),thrift_store,17,-0.5067454451259266
Unemployment Rate (%),thrift_store,18,-0.5167049232525098
Unemployment Rate (%),thrift_store,19,-0.5114707901958276
Unemployment Rate (%),thrift_store,20,-0.5049368027522374
Unemployment Rate (%),thrift_store,21,-0.495759441698124
Unemployment Rate (%),thrift_store,22,-0.5044334856729771
Unemployment Rate (%),thrift_store,23,-0.5136621652654788
Unemployment Rate (%),thrift_store,24,-0.5171172576547781
Unemployment Rate (%),thrift_store,25,-0.5254500474586778
Unemployment Rate (%),thrift_store,26,-0.5277576129575946
Unemployment Rate (%),thrift_store,27,-0.5302190533659065
Unemployment Rate (%),thrift_store,28,-0.544813276766005
Unemployment Rate (%),thrift_store,29,-0.5539097464316076
Unemployment Rate (%),thrift_store,30,-0.5495648589101206
Unemployment Rate (%),thrift_store,31,-0.5455415025515518
Unemployment Rate (%),thrift_store,32,-0.5546824836568566
Unemployment Rate (%),thrift_store,33,-0.5544688783237949
Unemployment Rate (%),thrift_store,34,-0.5658996289499291
Unemployment Rate (%),thrift_store,35,-0.5781389344584474
Unemployment Rate (%),thrift_store,36,-0.575891818055466
Unemployment Rate (%),thrift_store,37,-0.5789415548575745
Unemployment Rate (%),thrift_store,38,-0.5874464972012746
Unemployment Rate (%),thrift_store,39,-0.5944578685472464
Unemployment Rate (%),thrift_store,40,-0.6031121536504076
Unemployment Rate (%),thrift_store,41,-0.6130041677701225
Unemployment Rate (%),thrift_store,42,-0.618152873029842
Unemployment Rate (%),thrift_store,43,-0.6246266050405364
Unemployment Rate (%),thrift_store,44,-0.6388884346645326
Unemployment Rate (%),thrift_store,45,-0.6341391737324517
Unemployment Rate (%),thrift_store,46,-0.6286637041294058
Unemployment Rate (%),thrift_store,47,-0.6233174142516579
Unemployment Rate (%),thrift_store,48,-0.6132598529091139
Unemployment Rate (%),second_hand_clothing,0,-0.010991889758050743
Unemployment Rate (%),second_hand_clothing,1,-0.026810025587745492
Unemployment Rate (%),second_hand_clothing,2,-0.02195899970823408
Unemployment Rate (%),second_hand_clothing,3,0.019213328277588395
Unemployment Rate (%),second_hand_clothing,4,0.041449391203759935
Unemployment Rate (%),second_hand_clothing,5,0.06849962037162954
Unemployment Rate (%),second_hand_clothing,6,0.10418909942288002
Unemployment Rate (%),second_hand_clothing,7,0.10924182165727453
Unemployment Rate (%),second_hand_clothing,8,0.13521378495976652
Unemployment Rate (%),second_hand_clothing,9,0.1723047096298257
Unemployment Rate (%),second_hand_clothing,10,0.17075836117676924
Unemployment Rate (%),second_hand_clothing,11,0.19091436496580086
Unemployment Rate (%),second_hand_clothing,12,0.2201302586664544
Unemployment Rate (%),second_hand_clothing,13,0.21926412430727577
Unemployment Rate (%),second_hand_clothing,14,0.23353612561834844
Unemployment Rate (%),second_hand_clothing,15,0.24922389829958053
Unemployment Rate (%),second_hand_clothing,16,0.2544483055291856
Unemployment Rate (%),second_hand_clothing,17,0.22609009452189388
Unemployment Rate (%),second_hand_clothing,18,0.2303017721266005
Unemployment Rate (%),second_hand_clothing,19,0.21521103343984552
Unemployment Rate (%),second_hand_clothing,20,0.24424368944157765
Unemployment Rate (%),second_hand_clothing,21,0.2697459035968587
Unemployment Rate (%),second_hand_clothing,22,0.284623822485647
Unemployment Rate (%),second_hand_clothing,23,0.3185143611171775
Unemployment Rate (%),second_hand_clothing,24,0.3398977271515302
Unemployment Rate (%),second_hand_clothing,25,0.3354533464184609
Unemployment Rate (%),second_hand_clothing,26,0.3587181047970619
Unemployment Rate (%),second_hand_clothing,27,0.37956398381317774
Unemployment Rate (%),second_hand_clothing,28,0.334888900388636
Unemployment Rate (%),second_hand_clothing,29,0.3307916359505224
Unemployment Rate (%),second_hand_clothing,30,0.3198094471562924
Unemployment Rate (%),second_hand_clothing,31,0.32503075478945515
Unemployment Rate (%),second_hand_clothing,32,0.31058113742437005
Unemployment Rate (%),second_hand_clothing,33,0.3178059464304998
Unemployment Rate (%),second_hand_clothing,34,0.2965050343404029
Unemployment Rate (%),second_hand_clothing,35,0.2995952641572674
Unemployment Rate (%),second_hand_clothing,36,0.31745725732643065
Unemployment Rate (%),second_hand_clothing,37,0.30217655061007015
Unemployment Rate (%),second_hand_clothing,38,0.3044571962466471
Unemployment Rate (%),second_hand_clothing,39,0.3000728404381054
Unemployment Rate (%),second_hand_clothing,40,0.2958642125336973
Unemployment Rate (%),second_hand_clothing,41,0.25677552465305614
Unemployment Rate (%),second_hand_clothing,42,0.23997565357826656
Unemployment Rate (%),second_hand_clothing,43,0.1814895615201464
Unemployment Rate (%),second_hand_clothing,44,0.15710328146971514
Unemployment Rate (%),second_hand_clothing,45,0.13911641806375533
Unemployment Rate (%),second_hand_clothing,46,0.11136083852884232
Unemployment Rate (%),second_hand_clothing,47,0.07609388307468182
Unemployment Rate (%),second_hand_clothing,48,0.06806025979237766
Unemployment Rate (%),vintage_clothing,0,0.3245356952872119
Unemployment Rate (%),vintage_clothing,1,0.32025590109951113
Unemployment Rate (%),vintage_clothing,2,0.3180826250886464
Unemployment Rate (%),vintage_clothing,3,0.3100938336759796
Unemployment Rate (%),vintage_clothing,4,0.298563878916395
Unemployment Rate (%),vintage_clothing,5,0.2950994478591237
Unemployment Rate (%),vintage_clothing,6,0.2788714234729533
Unemployment Rate (%),vintage_clothing,7,0.26263346437397134
Unemployment Rate (%),vintage_clothing,8,0.25287593859832885
Unemployment Rate (%),vintage_clothing,9,0.24554446349918604
Unemployment Rate (%),vintage_clothing,10,0.23781253642926897
Unemployment Rate (%),vintage_clothing,11,0.2315716942585959
Unemployment Rate (%),vintage_clothing,12,0.23141064309609263
Unemployment Rate (%),vintage_clothing,13,0.2346227403521211
Unemployment Rate (%),vintage_clothing,14,0.23773949072612677
Unemployment Rate (%),vintage_clothing,15,0.24086757779827048
Unemployment Rate (%),vintage_clothing,16,0.23985370383432147
Unemployment Rate (%),vintage_clothing,17,0.23778961855793498
Unemployment Rate (%),vintage_clothing,18,0.23048937243919743
Unemployment Rate (%),vintage_clothing,19,0.22736113279730036
Unemployment Rate (%),vintage_clothing,20,0.23254534340335892
Unemployment Rate (%),vintage_clothing,21,0.2473615193765357
Unemployment Rate (%),vintage_clothing,22,0.2597805312844961
Unemployment Rate (%),vintage_clothing,23,0.2636654276776534
Unemployment Rate (%),vintage_clothing,24,0.27582370902892206
Unemployment Rate (%),vintage_clothing,25,0.2848089364487031
Unemployment Rate (%),vintage_clothing,26,0.29477203779069217
Unemployment Rate (%),vintage_clothing,27,0.31791903130952737
Unemployment Rate (%),vintage_clothing,28,0.3278603327962164
Unemployment Rate (%),vintage_clothing,29,0.3336623056328878
Unemployment Rate (%),vintage_clothing,30,0.3511073395242843
Unemployment Rate (%),vintage_clothing,31,0.3583468140019308
Unemployment Rate (%),vintage_clothing,32,0.36305452823557266
Unemployment Rate (%),vintage_clothing,33,0.3896604324380063
Unemployment Rate (%),vintage_clothing,34,0.40478081864440685
Unemployment Rate (%),vintage_clothing,35,0.42892948962851524
Unemployment Rate (%),vintage_clothing,36,0.4570637633440883
Unemployment Rate (%),vintage_clothing,37,0.46979474751199324
Unemployment Rate (%),vintage_clothing,38,0.48131907363105925
Unemployment Rate (%),vintage_clothing,39,0.5009959869363487
Unemployment Rate (%),vintage_clothing,40,0.4935190234380295
Unemployment Rate (%),vintage_clothing,41,0.4989951923937635
Unemployment Rate (%),vintage_clothing,42,0.5005316295870164
Unemployment Rate (%),vintage_clothing,43,0.49133788760441044
Unemployment Rate (%),vintage_clothing,44,0.4856019821968647
Unemployment Rate (%),vintage_clothing,45,0.48341455190540905
Unemployment Rate (%),vintage_clothing,46,0.4689925779118209
Unemployment Rate (%),vintage_clothing,47,0.47183369615343995
Unemployment Rate (%),vintage_clothing,48,0.4766526037442163
Unemployment Rate (%),short_skirts,0,0.3701946077501798
Unemployment Rate (%),short_skirts,1,0.378015144514159
Unemployment Rate (%),short_skirts,2,0.3712508841626053
Unemployment Rate (%),short_skirts,3,0.38333642784919547
Unemployment Rate (%),short_skirts,4,0.3913864857548864
Unemployment Rate (%),short_skirts,5,0.39835748799702525
Unemployment Rate (%),short_skirts,6,0.40762421390312925
Unemployment Rate (%),short_skirts,7,0.4208745051021971
Unemployment Rate (%),short_skirts,8,0.43116803601902604
Unemployment Rate (%),short_skirts,9,0.4368597406242283
Unemployment Rate (%),short_skirts,10,0.4484235411335969
Unemployment Rate (%),short_skirts,11,0.44910010045114085
Unemployment Rate (%),short_skirts,12,0.46499783169439385
Unemployment Rate (%),short_skirts,13,0.47990809022108055
Unemployment Rate (%),short_skirts,14,0.4917553675262478
Unemployment Rate (%),short_skirts,15,0.5009477368568106
Unemployment Rate (%),short_skirts,16,0.5109490246082216
Unemployment Rate (%),short_skirts,17,0.512882926213912
Unemployment Rate (%),short_skirts,18,0.5371219142975128
Unemployment Rate (%),short_skirts,19,0.5470537994108032
Unemployment Rate (%),short_skirts,20,0.5583089780973838
Unemployment Rate (%),short_skirts,21,0.565941853544232
Unemployment Rate (%),short_skirts,22,0.5698152725674618
Unemployment Rate (%),short_skirts,23,0.5770436905406274
Unemployment Rate (%),short_skirts,24,0.5837058127809736
Unemployment Rate (%),short_skirts,25,0.593407719946057
Unemployment Rate (%),short_skirts,26,0.5970437808082075
Unemployment Rate (%),short_skirts,27,0.6092345732622453
Unemployment Rate (%),short_skirts,28,0.6100649003595592
Unemployment Rate (%),short_skirts,29,0.6075370841893847
Unemployment Rate (%),short_skirts,30,0.6189530412070686
Unemployment Rate (%),short_skirts,31,0.6191802735917522
Unemployment Rate (%),short_skirts,32,0.6238068224270181
Unemployment Rate (%),short_skirts,33,0.6224943402219653
Unemployment Rate (%),short_skirts,34,0.612239659726738
Unemployment Rate (%),short_skirts,35,0.6122903929039767
Unemployment Rate (%),short_skirts,36,0.6176258639349549
Unemployment Rate (%),short_skirts,37,0.6195429227873708
Unemployment Rate (%),short_skirts,38,0.6213653595509474
Unemployment Rate (%),short_skirts,39,0.6197917479399642
Unemployment Rate (%),short_skirts,40,0.6216414123793909
Unemployment Rate (%),short_skirts,41,0.6066210716712075
Unemployment Rate (%),short_skirts,42,0.6099343970169918
Unemployment Rate (%),short_skirts,43,0.6108591682456399
Unemployment Rate (%),short_skirts,44,0.6130012090180902
Unemployment Rate (%),short_skirts,45,0.6123362687023572
Unemployment Rate (%),short_skirts,46,0.612123981702449
Unemployment Rate (%),short_skirts,47,0.6119367915962344
Unemployment Rate (%),short_skirts,48,0.61755544560818
Unemployment Rate (%),mini_skirts,0,-0.21426428783890342
Unemployment Rate (%),mini_skirts,1,-0.19432564664329494
Unemployment Rate (%),mini_skirts,2,-0.17781809088968625
Unemployment Rate (%),mini_skirts,3,-0.1517006260572569
Unemployment Rate (%),mini_skirts,4,-0.12327494266804996
Unemployment Rate (%),mini_skirts,5,-0.11367285472294772
Unemployment Rate (%),mini_skirts,6,-0.09586711768950237
Unemployment Rate (%),mini_skirts,7,-0.09416116000384807
Unemployment Rate (%),mini_skirts,8,-0.1106053075983491
Unemployment Rate (%),mini_skirts,9,-0.09933147271885309
Unemployment Rate (%),mini_skirts,10,-0.07947986665894552
Unemployment Rate (%),mini_skirts,11,-0.06551255526221765
Unemployment Rate (%),mini_skirts,12,-0.04392613327684103
Unemployment Rate (%),mini_skirts,13,-0.02486770639247563
Unemployment Rate (%),mini_skirts,14,-0.01118890990502093
Unemployment Rate (%),mini_skirts,15,0.012505762449698268
Unemployment Rate (%),mini_skirts,16,0.025498981344188387
Unemployment Rate (%),mini_skirts,17,0.022237595071088048
Unemployment Rate (%),mini_skirts,18,0.025721610897622982
Unemployment Rate (%),mini_skirts,19,0.042566136570100256
Unemployment Rate (%),mini_skirts,20,0.05556314771160647
Unemployment Rate (%),mini_skirts,21,0.032941438993329485
Unemployment Rate (%),mini_skirts,22,0.027399855030683262
Unemployment Rate (%),mini_skirts,23,0.020032849653916218
